School,Latitude,Longitude
A.N. Pritzker School,41.9068861,-87.6780938
Abraham Lincoln Elementary School,,
Academy for Global Citizenship Charter School,41.8133129,-87.7476851
Acero Charter Schools - Bartolomé de las Casas,,
Acero Charter Schools - Brighton Park,41.8133076,-87.6934733
Acero Charter Schools - Carlos Fuentes,,
Acero Charter Schools - Esmeralda Santiago,,
Acero Charter Schools - Jovita Idar,,
Acero Charter Schools - Major Hector P. Garcia MD,41.8085403,-87.7307842
Acero Charter Schools - Octavio Paz Campus,,
Acero Charter Schools - Officer Donald J. Marquez,,
Acero Charter Schools - PFC Omar E. Torres,41.8086091,-87.730777
Acero Charter Schools - Roberto Clemente,,
Acero Charter Schools - Rufino Tamayo,,
Acero Charter Schools - Sandra Cisneros,,
Acero Charter Schools - Sor Juana Inés de la Cruz,,
Acero Charter Schools - SPC Daniel Zizumbo,41.8094698,-87.7307945
Acero Charter Schools - Victoria Soto,,
Adam Clayton Powell Paideia Community Academy ES,,
Adlai E Stevenson Elementary School,42.4927009,-83.2628551
Agustin Lara Elementary Academy,,
Air Force Academy High School,41.827898,-87.632968
Al Raby High School,41.8861417,-87.7153641
Alain Locke Charter School,41.8771349,-87.7051076
Albany Park Multicultural Academy,41.9710983,-87.7094963
Albert G Lane Technical High School,41.945166,-87.6906541
Albert R Sabin Elementary Magnet School,45.5521913,-122.6478363
Alessandro Volta Elementary School,41.9714379,-87.7250554
Alex Haley Elementary Academy,41.6863606,-87.6333718
Alexander Graham Bell Elementary School,41.9495261,-87.6862446
Alexander Graham Elementary School,41.8130967,-87.6438535
Alexander Hamilton Elementary School,31.1264156,-83.9529387
Alfred Nobel Elementary School,41.9057726,-87.7297953
Alice L Barnard Computer Math & Science Ctr ES,,
Ambrose Plamondon Elementary School,41.8604424,-87.6926254
Amelia Earhart Options for Knowledge ES,,
Amos Alonzo Stagg Elementary School,41.7591616,-87.6492836
Andrew Carnegie Elementary School,41.7836708,-87.5911031
Anna R. Langford Community Academy,41.7847917,-87.6573968
Ariel Elementary Community Academy,,
Arnold Mireles Elementary Academy,,
Art in Motion Charter School,,
Arthur A Libby Elementary School,48.3843092,-115.570979
Arthur Dixon Elementary School,41.74333,-87.6105986
Arthur E Canty Elementary School,41.9478642,-87.8297303
Arthur R Ashe Elementary School,,
Asa Philip Randolph Elementary School,,
Ashburn Community Elementary School,41.7418771,-87.70981
Asian Human Services - Passages Charter School,41.9902166,-87.692439
ASPIRA Business and Finance,41.935827,-87.7180455
ASPIRA Charter School - Early College High School,,
ASPIRA Charter School - Haugan Middle School,41.9663039,-87.7218024
Augustus H Burley Elementary School,41.9380944,-87.6698221
Austin College and Career Academy High School,41.8853945,-87.7629756
Avalon Park Elementary School,41.7485226,-87.5912872
Avondale-Logandale Elementary School,41.9343149,-87.7080903
Back of the Yards IB HS,41.8066775,-87.6679765
Belmont-Cragin Elementary School,41.9240043,-87.7789795
Benito Juarez Community Academy High School,41.8527939,-87.6643651
Benjamin E Mays Elementary Academy,41.7729973,-87.6373504
Bernhard Moos Elementary School,41.9130714,-87.696335
Beulah Shoesmith Elementary School,41.8049276,-87.5941802
Bowen High School,41.7341011,-87.5575717
Bret Harte Elementary School,,
Brian Piccolo Elementary Specialty School,41.9002223,-87.7318077
Brighton Park Elementary School,41.8238257,-87.6920458
Bronzeville Scholastic Academy High School,41.8166444,-87.6167744
Burnham Elementary Inclusive Academy,,
Burnside Elementary Scholastic Academy,,
Calmeca Academy of Fine Arts and Dual Language,,
Carl Schurz High School,41.9474441,-87.7352682
Carl von Linne Elementary School,,
Carrie Jacobs Bond Elementary School,41.7657551,-87.6532524
Carroll-Rosenwald Specialty Elementary School,,
Carter G Woodson South Elementary School,,
Catalyst - Maria Charter School,,
Catalyst Elementary Charter School - Circle Rock,,
Cesar E Chavez Multicultural Academic Center ES,,
Charles Allen Prosser Career Academy High School,,
Charles Evans Hughes Elementary School,,
Charles G Hammond Elementary School,41.8525332,-87.6958882
Charles Gates Dawes Elementary School,,
Charles H Wacker Elementary School,41.7161812,-87.6485943
Charles Kozminski Elementary Community Academy,,
Charles N Holden Elementary School,,
Charles P Caldwell Academy of Math & Science ES,,
Charles P Steinmetz College Preparatory HS,,
Charles R Darwin Elementary School,,
Charles R Henderson Elementary School,41.7910131,-87.6722308
Charles S Brownell Elementary School,,
Charles S Deneen Elementary School,,
Charles Sumner Math & Science Community Acad ES,,
Charles W Earle Elementary School,,
Chicago Academy Elementary School,41.9429136,-87.7770251
Chicago Academy High School,41.9429669,-87.7769852
Chicago Collegiate Charter School,41.8781136,-87.6297982
Chicago Excel Academy HS,41.8781136,-87.6297982
Chicago High School for Agricultural Sciences,41.690225,-87.7176465
Chicago High School for the Arts (ChiArts),41.8994827,-87.6950336
Chicago Math and Science Academy Charter School,42.0134326,-87.6751504
Chicago Military Academy High School,41.8303817,-87.6191728
Chicago Technology Academy High School,41.863195,-87.659268
Chicago Vocational Career Academy High School,41.7377229,-87.5729254
Chicago World Language Academy,41.8747919,-87.6612967
Christian Ebinger Elementary School,42.0046648,-87.810844
Christian Fenger Academy High School,41.6897069,-87.63784
Christopher Columbus Elementary School,,
Christopher House Charter School,,
CICS - Avalon/South Shore,41.7429188,-87.5876961
CICS - Basil,41.7941213,-87.6702102
CICS - Bucktown,41.9225216,-87.6813243
CICS - Irving Park,41.950646,-87.7107205
CICS - Lloyd Bond,41.6532109,-87.6055395
CICS - Longwood,41.7203213,-87.6557986
CICS - Northtown,41.9909661,-87.7275189
CICS - Prairie,41.6844708,-87.6171892
CICS - Ralph Ellison,41.7481405,-87.6689966
CICS - Washington Park,41.7842096,-87.6211832
CICS - West Belden,41.921641,-87.776554
CICS - Wrightwood,41.7451135,-87.6928694
Clara Barton Elementary School,,
Claremont Academy Elementary School,41.7777801,-87.6813355
Collins Academy High School,41.8640759,-87.7011184
Columbia Explorers Elementary Academy,,
