School,Count
A.N. Pritzker School,8
Abraham Lincoln Elementary School,3
Academy for Global Citizenship Charter School,3
Acero Charter Schools - Bartolomé de las Casas,3
Acero Charter Schools - Brighton Park,2
Acero Charter Schools - Carlos Fuentes,3
Acero Charter Schools - Esmeralda Santiago,1
Acero Charter Schools - Jovita Idar,1
Acero Charter Schools - Major Hector P. Garcia MD,4
Acero Charter Schools - Octavio Paz Campus,2
Acero Charter Schools - Officer Donald J. Marquez,1
Acero Charter Schools - PFC Omar E. Torres,1
Acero Charter Schools - Roberto Clemente,3
Acero Charter Schools - Rufino Tamayo,1
Acero Charter Schools - Sandra Cisneros,2
Acero Charter Schools - Sor Juana Inés de la Cruz,6
Acero Charter Schools - SPC Daniel Zizumbo,1
Acero Charter Schools - Victoria Soto,5
Adam Clayton Powell Paideia Community Academy ES,11
Adlai E Stevenson Elementary School,4
Agustin Lara Elementary Academy,2
Air Force Academy High School,5
Al Raby High School,19
Alain Locke Charter School,1
Albany Park Multicultural Academy,3
Albert G Lane Technical High School,9
Albert R Sabin Elementary Magnet School,5
Alessandro Volta Elementary School,4
Alex Haley Elementary Academy,5
Alexander Graham Bell Elementary School,4
Alexander Graham Elementary School,3
Alexander Hamilton Elementary School,4
Alfred Nobel Elementary School,6
Alice L Barnard Computer Math & Science Ctr ES,3
Ambrose Plamondon Elementary School,2
Amelia Earhart Options for Knowledge ES,3
Amos Alonzo Stagg Elementary School,6
Andrew Carnegie Elementary School,3
Anna R. Langford Community Academy,8
Ariel Elementary Community Academy,7
Arnold Mireles Elementary Academy,4
Art in Motion Charter School,4
Arthur A Libby Elementary School,8
Arthur Dixon Elementary School,4
Arthur E Canty Elementary School,3
Arthur R Ashe Elementary School,5
Asa Philip Randolph Elementary School,5
Ashburn Community Elementary School,2
Asian Human Services - Passages Charter School,2
ASPIRA Business and Finance,3
ASPIRA Charter School - Early College High School,3
ASPIRA Charter School - Haugan Middle School,3
Augustus H Burley Elementary School,3
Austin College and Career Academy High School,12
Avalon Park Elementary School,3
Avondale-Logandale Elementary School,7
Back of the Yards IB HS,8
Belmont-Cragin Elementary School,2
Benito Juarez Community Academy High School,13
Benjamin E Mays Elementary Academy,5
Bernhard Moos Elementary School,5
Beulah Shoesmith Elementary School,3
Bowen High School,11
Bret Harte Elementary School,4
Brian Piccolo Elementary Specialty School,8
Brighton Park Elementary School,3
Bronzeville Scholastic Academy High School,7
Burnham Elementary Inclusive Academy,4
Burnside Elementary Scholastic Academy,6
Calmeca Academy of Fine Arts and Dual Language,3
Carl Schurz High School,10
Carl von Linne Elementary School,3
Carrie Jacobs Bond Elementary School,5
Carroll-Rosenwald Specialty Elementary School,4
Carter G Woodson South Elementary School,4
Catalyst - Maria Charter School,3
Catalyst Elementary Charter School - Circle Rock,2
Cesar E Chavez Multicultural Academic Center ES,7
Charles Allen Prosser Career Academy High School,10
Charles Evans Hughes Elementary School,5
Charles G Hammond Elementary School,4
Charles Gates Dawes Elementary School,4
Charles H Wacker Elementary School,3
Charles Kozminski Elementary Community Academy,6
Charles N Holden Elementary School,1
Charles P Caldwell Academy of Math & Science ES,2
Charles P Steinmetz College Preparatory HS,6
Charles R Darwin Elementary School,4
Charles R Henderson Elementary School,3
Charles S Brownell Elementary School,2
Charles S Deneen Elementary School,5
Charles Sumner  Math & Science Community Acad ES,9
Charles W Earle Elementary School,8
Chicago Academy Elementary School,2
Chicago Academy High School,4
Chicago Collegiate Charter School,5
Chicago Excel Academy HS,5
Chicago High School for Agricultural Sciences,8
Chicago High School for the Arts (ChiArts),6
Chicago Math and Science Academy Charter School,5
Chicago Military Academy High School,6
Chicago Technology Academy High School,5
Chicago Vocational Career Academy High School,9
Chicago World Language Academy,4
Christian Ebinger Elementary School,3
Christian Fenger Academy High School,6
Christopher Columbus Elementary School,4
Christopher House Charter School,1
CICS - Avalon/South Shore,1
CICS - Basil,1
CICS - Bucktown,3
CICS - Irving Park,1
CICS - Lloyd Bond,1
CICS - Longwood,4
CICS - Northtown,2
