School Name,Address,Latitude,Longitude,Postal Code,,
A.N. Pritzker School,2009 W Schiller St,41.9075,-87.6786,60622,,"Note: Done up to row 175 of ""Active RRB Report"". Not necessarily unique so can clean at the end"
Abraham Lincoln Elementary School,"615 W Kemper Pl, Chicago, IL",41.9227,-87.6443,60614,,
Acero Charter Schools - Bartolomé de las Casas,"1641 W 16th St, Chicago, IL",41.8592,-87.6675,60608,,
Acero Charter Schools - Carlos Fuentes,"2845 W Barry Ave, Chicago, IL",41.9375,-87.6983,60618,,
Acero Charter Schools - Carlos Fuentes,,41.9375,-87.6983,60618,,
Acero Charter Schools - Roberto Clemente,"2050 N Natchez Ave, Chicago, IL",41.9183,-87.7875,60707,,
Acero Charter Schools - Roberto Clemente,,41.9183,-87.7875,60707,,
Acero Charter Schools - Sandra Cisneros,"2744 W Pershing Rd, Chicago, IL",41.8233,-87.6933,60632,,
Acero Charter Schools - Sor Juana Inés de la Cruz,"7416 N Ridge Blvd, Chicago, IL",42.0167,-87.6842,60645,,
Acero Charter Schools - Sor Juana Inés de la Cruz,,42.0167,-87.6842,60645,,
Adam Clayton Powell Paideia Community Academy ES,7511 S South Shore Dr,41.7583,-87.5542,60649,,
Adlai E. Stevenson Elementary School,8010 S Kostner Ave,41.7475,-87.7325,60652,,
Air Force Academy High School,3630 S Wells St,41.8283,-87.6317,60609,,
Al Raby High School,3545 W Fulton Blvd,41.8861,-87.715,60624,,
Albany Park Multicultural Academy,,41.9683,-87.7192,60625,,
Albert G. Lane Technical High School,2501 W Addison St,41.9467,-87.69,60618,,
Albert R. Sabin Elementary Magnet School,2216 W Hirsch St,41.9061,-87.6833,60622,,
Alessandro Volta Elementary School,,41.9733,-87.6961,60625,,
Alex Haley Elementary Academy,"9030 S Bishop St, Chicago, IL",41.7311,-87.6625,60620,,
Alexander Hamilton Elementary School,"1650 W Cornelia Ave, Chicago, IL",41.9453,-87.6711,60657,,
Alexander Hamilton Elementary School,,41.9453,-87.6711,60657,,
Amos Alonzo Stagg Elementary School,7424 S Morgan St,41.7583,-87.6492,60621,,
Andrew Carnegie Elementary School,,41.7472,-87.6083,60619,,
Anna R. Langford Community Academy,6010 S Throop St,41.7845,-87.6592,60636,,
Ariel Elementary Community Academy,,41.8011,-87.6181,60653,,
Arnold Mireles Elementary Academy,9000 S Exchange Ave,41.7311,-87.5525,60617,,
Arthur A. Libby Elementary School,"5300 S Loomis Blvd, Chicago, IL",41.7975,-87.6611,60609,,
Arthur R Ashe Elementary School,,41.75,-87.6042,60619,,
Augustus H Burley Elementary School,,41.9375,-87.6692,60657,,
Augustus H. Burley Elementary School,"1630 W Barry Ave, Chicago, IL",41.9375,-87.6692,60657,,
Austin College and Career Academy High School,231 N Pine Ave,41.885,-87.7642,60644,,
Avondale-Logandale Elementary School,,41.9311,-87.7075,60618,,
Back of the Yards IB High School,2111 W 47th St,41.8083,-87.6792,60609,,
Benito Juarez Community Academy High School,2150 S Laflin St,41.8525,-87.665,60608,,
Benjamin E. Mays Elementary Academy,6656 S Normal Blvd,41.7725,-87.6378,60621,,
Bernhard Moos Elementary School,"1711 N California Ave, Chicago, IL",41.9111,-87.6975,60647,,
Bernhard Moos Elementary School,,41.9111,-87.6975,60647,,
Beulah Shoesmith Elementary School,,41.8017,-87.5969,60615,,
Bowen High School,2710 E 89th St,41.7333,-87.5561,60617,,
Bret Harte Elementary School,,41.8025,-87.5872,60615,,
Bronzeville Scholastic Academy High School,4934 S Wabash Ave,41.805,-87.6233,60615,,
Burnham Elementary Inclusive Academy,9928 S Crandon Ave,41.715,-87.5675,60617,,
Burnside Elementary Scholastic Academy,650 E 91st Pl,41.7283,-87.6092,60619,,
Carl Schurz High School,3601 N Milwaukee Ave,41.9475,-87.735,60641,,
Carrie Jacobs Bond Elementary School,7050 S May St,41.765,-87.6525,60621,,
Carroll-Rosenwald Specialty Elementary School,"3615 W 80th Pl, Chicago, IL",41.7483,-87.7111,60652,,
Carroll-Rosenwald Specialty Elementary School,,41.7483,-87.7111,60652,,
Cesar E. Chavez Multicultural Academic Center ES,4747 S Marshfield Ave,41.8075,-87.6661,60609,,
Charles Allen Prosser Career Academy High School,2148 N Long Ave,41.92,-87.76,60639,,
Charles Gates Dawes Elementary School,3810 W 81st Pl,41.745,-87.7175,60652,,
Charles H. Wacker Elementary School,9746 S Morgan St,41.7175,-87.6483,60643,,
Charles Kozminski Elementary Community Academy,,41.7992,-87.6058,60615,,
Charles P. Steinmetz College Preparatory HS,3030 N Mobile Ave,41.9361,-87.7811,60634,,
Charles Sumner Math & Science Community Acad ES,4320 W 5th Ave,41.875,-87.7325,60624,,
Charles W. Earle Elementary School,2040 W 62nd St,41.78,-87.6742,60636,,
Chicago Academy High School,3400 N Austin Ave,41.9433,-87.7761,60634,,
Chicago Collegiate Charter School,11816 S Indiana Ave,41.6792,-87.6175,60628,,
Chicago Excel Academy High School,1257 W 111th St,41.6925,-87.6511,60643,,
Chicago High School for Agricultural Sciences,3857 W 111th St,41.6917,-87.715,60655,,
Chicago High School for the Arts (ChiArts),2714 W Augusta Blvd,41.8992,-87.6942,60622,,
Chicago Military Academy High School,3519 S Giles Ave,41.83,-87.6192,60653,,
Chicago Vocational Career Academy High School,2100 E 87th St,41.7362,-87.5743,60617,,
Chicago World Language Academy,"1340 W Harrison St, Chicago, IL",41.8742,-87.6611,60607,,
Christian Ebinger Elementary School,7350 W Pratt Ave,42.0043,-87.8135,60631,,
Christian Fenger Academy High School,11220 S Wallace St,41.6883,-87.6383,60628,,
Christopher Columbus Elementary School,"1003 N Leavitt St, Chicago, IL",41.8992,-87.6825,60622,,
Clara Barton Elementary School,7650 S Wolcott Ave,41.755,-87.67,60620,,
Claremont Academy Elementary School,2300 W 64th St,41.7775,-87.6811,60636,,
Claremont Academy Elementary School,,41.8192,-87.6561,60608,,
Collins Academy High School,1313 S Sacramento Dr,41.8642,-87.7011,60623,,
Countee Cullen Elementary School,"10650 S Eberhart Ave, Chicago, IL",41.7011,-87.6133,60628,,
Countee Cullen Elementary School,,41.7011,-87.6133,60628,,
Crown Community Academy of Fine Arts Center ES,2128 S St Louis Ave,41.8533,-87.7092,60623,,
Daniel Boone Elementary School,"6710 N Washtenaw Ave, Chicago, IL",42.0025,-87.6961,60645,,
Daniel Hale Williams Prep School of Medicine,4934 S Wabash Ave,41.805,-87.6233,60615,,
Daniel S. Wentworth Elementary School,"1340 W 71st St, Chicago, IL",41.7645,-87.6589,60636,,
Daniel Webster Elementary School,4055 W Arthington St,41.8692,-87.7275,60624,,
Daniel Webster Elementary School,,41.8192,-87.6561,60608,,
David G. Farragut Career Academy High School,2345 S Christiana Ave,41.8492,-87.71,60623,,
Dewey Elementary Academy of Fine Arts,5415 S Union Ave,41.795,-87.6425,60609,,
Disney II Magnet High School,3900 N Lawndale Ave,41.9525,-87.7192,60618,,
Disney II Magnet School,"3815 N Kedvale Ave, Chicago, IL",41.9511,-87.7325,60641,,
Disney II Magnet School,,41.9511,-87.7325,60641,,
Douglas Taylor Elementary School,,41.7383,-87.5525,60649,,
Dr. Martin Luther King Jr. College Prep HS,4445 S Drexel Blvd,41.8133,-87.6042,60653,,
Edmond Burke Elementary School,,41.7839,-87.6039,60619,,
Edward A Bouchet Math & Science Academy ES,,41.7625,-87.5775,60649,,
Edward Coles Elementary Language Academy,8441 S Yates Blvd,41.7411,-87.5661,60617,,
Edward N Hurley Elementary School,,41.7942,-87.6661,60620,,
Edward N. Hurley Elementary School,"3849 W 69th Pl, Chicago, IL",41.7683,-87.7133,60629,,
Edward Tilden Career Community Academy HS,4747 S Union Ave,41.8083,-87.6425,60609,,
Edwin G. Foreman College and Career Academy,3235 N Leclaire Ave,41.9392,-87.7542,60641,,
Eliza Chappell Elementary School,"2135 W Foster Ave, Chicago, IL",41.9753,-87.6833,60625,,
Eliza Chappell Elementary School,,41.9753,-87.6833,60625,,
Ellen H. Richards Career Academy High School,5009 S Laflin St,41.8025,-87.6642,60609,,
Emil G. Hirsch Metropolitan High School,7740 S Ingleside Ave,41.7542,-87.6025,60619,,
Emmett Louis Till Math and Science Academy,,41.7761,-87.6194,60619,,
Englewood STEM High School,6835 S Normal Blvd,41.7692,-87.6375,60621,,
Enrico Tonti Elementary School,5815 S Homan Ave,41.7875,-87.7073,60629,,
Eric Solorio Academy High School,5400 S St Louis Ave,41.7942,-87.71,60632,,
Excel Academy Southwest,8301 S Vincennes Ave,41.7411,-87.6333,60620,,
Federico Garcia Lorca Elementary School,3231 N Springfield Ave,41.9392,-87.725,60618,,
Florence Nightingale Elementary School,5250 S Rockwell St,41.7975,-87.6911,60632,,
Florence Nightingale Elementary School,"5250 S Rockwell St, Chicago, IL",41.7975,-87.6911,60632,,
Francis M McKay Elementary School,,41.7683,-87.6925,60629,,
Francis M. McKay Elementary School,"6901 S Fairfield Ave, Chicago, IL",41.7683,-87.6925,60629,,
Frank W. Gunsaulus Elementary Scholastic Academy,4420 S Sacramento Ave,41.8133,-87.6983,60632,,
Franklin Elementary Fine Arts Center,"225 W Evergreen Ave, Chicago, IL",41.9061,-87.6353,60610,,
Frederick A. Douglass Academy High School,543 N Waller Ave,41.8925,-87.755,60644,,
Frederick Funston Elementary School,,41.9203,-87.7186,60647,,
Friedrich L. Jahn Elementary of the Fine Arts,"3149 N Wolcott Ave, Chicago, IL",41.9383,-87.6753,60657,,
Friedrich W. von Steuben Metropolitan Science HS,5039 N Kimball Ave,41.9741,-87.7135,60625,,
Friedrich W. von Steuben Metropolitan Science HS,5039 N Kimball Ave,41.9741,-87.7135,60625,,
Gage Park High School,5630 S Rockwell St,41.7917,-87.6911,60629,,
Galileo Math & Science Scholastic Academy ES,"820 S Carpenter St, Chicago, IL",41.8703,-87.6533,60607,,
George H. Corliss High School,821 E 103rd St,41.7075,-87.6042,60628,,
George M. Pullman Elementary School,11311 S Forrestville Ave,41.6883,-87.6083,60628,,
George Rogers Clark Elementary School,1045 S Monitor Ave,41.8683,-87.7745,60644,,
George Washington Carver Military Academy HS,13100 S Doty Ave,41.6575,-87.5983,60827,,
George Washington Elementary School,3611 E 114th St,41.6861,-87.535,60617,,
George Washington High School,3535 E 114th St,41.6861,-87.535,60617,,
George Westinghouse College Prep,3223 W Franklin Blvd,41.89,-87.7075,60624,,
Gerald Delgado Kanoon Elementary Magnet School,,41.8661,-87.6725,60608,,
Greater Lawndale High School For Social Justice,3120 S Kostner Ave,41.8361,-87.7333,60623,,
Gurdon S. Hubbard High School,6200 S Hamlin Ave,41.78,-87.715,60629,,
Gwendolyn Brooks College Preparatory Academy HS,250 E 111th St,41.6925,-87.6183,60628,,
Hannah G. Solomon Elementary School,"6206 N Hamlin Ave, Chicago, IL",41.9942,-87.7233,60659,,
Hanson Park Elementary School,5411 W Fullerton Ave,41.9242,-87.7625,60639,,
Harriet E. Sayre Elementary Language Academy,1850 N Newland Ave,41.9142,-87.8003,60707,,
Harriet Tubman Elementary School,"2851 N Seminary Ave, Chicago, IL",41.9333,-87.6542,60657,,
Helen Peirce International Studies ES,1423 W Bryn Mawr Ave,41.9833,-87.6661,60660,,
Helen Peirce International Studies ES,"1423 W Bryn Mawr Ave, Chicago, IL",41.9833,-87.6661,60660,,
Helge A. Haugan Elementary School,"4540 N Hamlin Ave, Chicago, IL",41.9642,-87.7233,60625,,
Henry Clay Elementary School,13231 S Burley Ave,41.655,-87.5461,60633,,
Henry H Nash Elementary School,,41.8783,-87.7186,60623,,
Henry O. Tanner Elementary School,7350 S Evans Ave,41.7592,-87.6061,60619,,
