RRB Number,Study Title,PI Organization,Primary Funding Source,Amount of Funding Awarded
2023-1842,"Understanding Educators' Experiences in the ""W orking on
Knowledge and Equit y"" Project",Transformativ e Research,Not Found,Not Found
2023-1906,"A COMMUNITY CENTERED CUL TURALL Y RESPONSIVE
EVALUATION OF OUR BEHA VIORAL HEAL TH TEAM USING
PROGRAM THEOR Y",Illinois State Univ ersity,Not Found,Not Found
2022-1837,Student Cognitiv e Interviews for Cultiv ate Surv ey,Not Found,I.A. O'Shaughnessey F oundation,"300,000.00"
2022-1707,"Illinois Ph ysics and Secondary Schools (IP aSS) Partnership Progr am and
Transitions to P ost-Secondary Engineering Studies",University of Illinois Urbana-Champaign,National Science F oundation,"2,639,828.00"
2024-1944,"The purpose of m y study is to identif y and analyz e the beha vior
management str ategies perceiv ed as most effectiv e by teachers
working with children aged 4-7 at Grimes Elementary School.
Through a mix ed-methods approach incorpor ating surv eys and
interviews, m y study seeks to gain insights into the pr actical
application, challenges, and outcomes associated with v arious
behavior management techniques. By elucidating the str ategies
that resonate most with educators and examining their impact
on classroom dynamics and student engagement, m y research
aims to inform the dev elopment of evidence-based pr actices
conduciv e to creating supportiv e and inclusiv e learning
environments.",Grimes Elementary,Not Found,Not Found
2022-1656,PS Computer -Assisted Learning SY22 RCT,UC Education lab,Ken Griffin,"500,000.00"
2024-1940,Understanding Social Emotional Learning in Chicago Public Schools,University of Chicago Urban Labs,Not Found,Not Found
2022-1826,"Citizen Math: Using Math Class to Create Informed, Thoughtful,
and Productiv e Citiz ens",Not Found,"Office of Elementary and Secondary Education (OESE), U .S. Department of
Education","7,962,028.00"
2021-1647,OneGoal Ev aluation (RCT): Student Surv eys + Staff Interviews,Not Found,Chicago Bey ond,"381,520.00"
2021-1672,This is not a research project.,North Riv er Commission,ISBE,"600,000.00"
2021-1680,The MEDLAB Experience - Museum Education in Div ersity for...,Not Found,National Science F oundation,"1,031,274.00"
2023-1839,Critical and Cultur al Approaches to Ambitious Science T eaching,University of W ashington,National Science F oundation,"1,907,471.00"
2023-1844,"Cultiv ate - Experience to Outcomes In vestigating through
student and adult interviews and focus groups which student
classroom experiences matter most for academic performance,
identit y dev elopment, and well-being and how use of Cultiv ate
survey data pro vides opportunities to impact those experiences
and outcomes.",Not Found,The Gates F oundation,"500,000.00"
2023-1849,Teach F or America (TF A) 2023 National Principal Surv ey,Westat,Not Found,Not Found
2022-1708,Stock Albuterol: Prev enting Asthma Emergencies in Schools,Not Found,American Lung Association (ALA),"50,000.00"
2022-1828,"Examining curriculum-based professional learning supports in
Chicago",Not Found,Carnegie Corpor ation,"1,200,000.00"
2020-1621,Evaluation of ENpowered,The P olicy & R esearch Group,"US Department of Education, Inno vation and R esearch Progr am; Gr ant Number
U411C190108","1,820,832.00"
2022-1830,"Research P artnership for Professional Learning (RPPL): T esting
PL design features that acceler ate instructional impro vement",Not Found,Walton F amily F oundation,"1,598,160.00"
2022-1834,"Mitigating the Impact of the COVID-19 P andemic through
Curriculum-Based Approaches to Learning Acceler ation in
Grades K -2 in Chicago",Not Found,Institute of Education Sciences,"2,763,928.00"
2023-1850,"A Qualitativ e Examination of a Public School Preschool Progr am
Serving Y oung Emergent Bilinguals and Multilinguals",Not Found,Not Found,Not Found
2024-1961,"Harmonizing scr atch encore: Empowering educators to create customiz ed
cultur ally responsiv e computing materials",University of Chicago,National Science F oundation,"662,386.00"
2022-1787,Youth Empowerment Project,AIR,CDC,"35,000.00"
2020-1592,Student P erceptions of STEM Career R eadiness in CPS,University of Chicago,Lumit y / Department of Education,"800,000.00"
2024-1959,"Using Inno vative Collabor ation to Strengthen T eacher Satisfaction and
Retention",Illinois State Univ ersity,Not Found,Not Found
2022-1827,"Shared R eflection on the P erceiv ed Effect of Cultur ally R elevant
School Leadership on Student Suspension Data in K -8th Gr ade
Chicago Public Schools",School Principal and Doctor al Candidate,Not Found,Not Found
2024-2015,"Empowering Educators: Enhancing R etention with Growth and
Support",Phillips High School,Not Found,Not Found
2023-1852,"Evaluating Chicago Public Schools’ College and Career
Competency Curriculum (C4)",Not Found,Not Found,Not Found
2022-1645,Everyday AI,MIT,NSF,"1,500,000.00"
2023-1851,Sports Medicine Care within Chicago Public Schools,Not Found,Not Found,Not Found
