RRB Number,Study Title,PI Organization,Primary Funding Source,Amount of Funding Awarded
2024-1944,"The purpose of m y study is to identif y and analyz e the beha vior
management str ategies perceiv ed as most effectiv e by teachers
working with children aged 4-7 at Grimes Elementary School.
Through a mix ed-methods approach incorpor ating surv eys and
interviews, m y study seeks to gain insights into the pr actical
application, challenges, and outcomes associated with v arious
behavior management techniques. By elucidating the str ategies
that resonate most with educators and examining their impact
on classroom dynamics and student engagement, m y research
aims to inform the dev elopment of evidence-based pr actices
conduciv e to creating supportiv e and inclusiv e learning
environments.",Grimes Elementary,Not Found,Not Found
2024-1940,Understanding Social Emotional Learning in Chicago Public Schools,University of Chicago Urban Labs,Not Found,Not Found
2021-1647,OneGoal Ev aluation (RCT): Student Surv eys + Staff Interviews,Not Found,Chicago Bey ond,"381,520.00"
2021-1680,The MEDLAB Experience - Museum Education in Div ersity for...,Not Found,National Science F oundation,"1,031,274.00"
2020-1621,Evaluation of ENpowered,The P olicy & R esearch Group,"US Department of Education, Inno vation and R esearch Progr am; Gr ant Number
U411C190108","1,820,832.00"
2024-1961,"Harmonizing scr atch encore: Empowering educators to create customiz ed
cultur ally responsiv e computing materials",University of Chicago,National Science F oundation,"662,386.00"
2020-1592,Student P erceptions of STEM Career R eadiness in CPS,University of Chicago,Lumit y / Department of Education,"800,000.00"
2024-1959,"Using Inno vative Collabor ation to Strengthen T eacher Satisfaction and
Retention",Illinois State Univ ersity,Not Found,Not Found
2024-2015,"Empowering Educators: Enhancing R etention with Growth and
Support",Phillips High School,Not Found,Not Found
2020-1616,"Cultiv ating Expansiv e Learning at the Intersections of STEAM,
Critical Liter acies, and Civics Education",North western Univ ersity,CPS/SESP R apid Impact Gr ant,"28,462.00"
2024-1968,"Impro ving Adolescent Social Emotional Competencies and Mental Health
Literacy via a T eacher -Led Classroom Interv ention: The Stress and Coping
Toolkit",Ann & R obert H. Lurie Children's Hospital of Chicago and North western Univ ersity,Lurie Children's Hospital Inno vator A ward,"200,000.00"
2024-1998,Illinois Stabilit y Investment for F amily Housing (SIFH) Pilot R ound 3,UChicago Inclusiv e Econom y Lab,Illinois Department of Human Services,"1,685,447.00"
2021-1640,Teaching and Learning through the Arts,Not Found,21st Century Communit y Learning Centers,"39,000.00"
2022-1774,Studying the Impact of Chicago’ s Univ ersal Prekindergarten Expansion,Not Found,Crown F amily F oundation,"400,000.00"
2022-1769,TALLY: Total ALL -important pregnant and parenting Y outh count,Not Found,Magoon Institute for Health y Communities,"10,000.00"
2021-1675,School Pulse P anel (SPP),National Center for Education Statistics (NCES),Not Found,Not Found
2022-1766,21s CCL C Study,Aspira Inc. of IL,ISBE,"175,000.00"
2021-1751,Evaluation of Blue Cards Progr am at Cassell Elementary,Capella Univ ersity,Not Found,Not Found
2022-1773,"Impacts of Skyline Professional Dev elopment on T eacher
Practices and Student Learning",Not Found,NSF,"2,700,000.00"
2022-0721,"CAFÉCS: Exploring Connections. Modification to include family
focus groups, teacher lesson adaptation interviews, and
students enrolled in computer science courses.",Not Found,National Science F oundartion,"1,061,469.00"
